fid,cngmeters,x,y
"1",27500,-3328065.7007803223,300150.7811927444
"1",27600,-3328065.7007803223,300250.7811927444
"1",27700,-3328099.9787560347,300316.5032170319
"1",27800,-3328169.7072540983,300346.7747189685
"1",27900,-3328169.7072540983,300446.7747189685
"1",28000,-3328191.9658084838,300524.5161645828
"1",28100,-3328273.7137278738,300542.7682451930
"1",28200,-3328273.7137278738,300642.7682451930
"1",28300,-3328283.9528609328,300732.5291121338
"1",28400,-3328377.7202016492,300738.7617714175
"1",28500,-3328377.7202016492,300838.7617714175
"1",28600,-3328377.7202016492,300938.7617714175
"1",28700,-3328377.7202016492,301038.7617714175
"1",28800,-3328377.7202016492,301138.7617714175
"1",28900,-3328467.9269658308,301148.5550072358
"1",29000,-3328481.7266754247,301234.7552976420
"1",29100,-3328563.9204920554,301252.5614810114
"1",29200,-3328585.7331492002,301330.7488238665
"1",29300,-3328585.7331492002,301430.7488238665
"1",29400,-3328585.7331492002,301530.7488238665
"1",29500,-3328651.9010707289,301564.5809023378
"1",29600,-3328689.7396229757,301626.7423500910
"1",29700,-3328689.7396229757,301726.7423500910
"1",29800,-3328689.7396229757,301826.7423500910
"1",29900,-3328739.8816494024,301876.6003236643
"1",30000,-3328793.7460967512,301922.7358763155
"1",30100,-3328793.7460967512,302022.7358763155
"1",30200,-3328793.7460967512,302122.7358763155
"1",30300,-3328827.8622280760,302188.6197449909
"1",30400,-3328897.7525705267,302218.7294025400
"1",30500,-3328923.8557543005,302292.6262187663
"1",30600,-3329023.8557543005,302292.6262187663
"1",30700,-3329123.8557543005,302292.6262187663
"1",30800,-3329209.7719918531,302306.7099812136
"1",30900,-3329219.8492805250,302396.6326925418
"1",31000,-3329319.8492805250,302396.6326925418
"1",31100,-3329419.8492805250,302396.6326925418
"1",31200,-3329519.8492805250,302396.6326925418
"1",31300,-3329619.8492805250,302396.6326925418
"1",31400,-3329625.7978869551,302490.6840861116
"1",31500,-3329715.8428067495,302500.6391663173
"1",31600,-3329815.8428067495,302500.6391663173
"1",31700,-3329915.8428067495,302500.6391663173
"1",31800,-3329937.8173082815,302578.6646647852
"1",31900,-3329937.8173082815,302678.6646647852
"1",32000,-3330007.8298591985,302708.6521138683
"1",32100,-3330107.8298591985,302708.6521138683
"1",32200,-3330207.8298591985,302708.6521138683
"1",32300,-3330249.8367296080,302766.6452434587
"1",32400,-3330303.8233854230,302812.6585876438
"1",32500,-3330403.8233854230,302812.6585876438
"1",32600,-3330503.8233854230,302812.6585876438
"1",32700,-3330561.8561509345,302854.6258221322
"1",32800,-3330599.8169116476,302916.6650614193
"1",32900,-3330699.8169116476,302916.6650614193
"1",33000,-3330799.8169116476,302916.6650614193
"1",33100,-3330873.8755722609,302890.7237220329
"1",33200,-3330895.8104378721,302812.6585876438
"1",33300,-3330977.8820460364,302830.5869794793
"1",33400,-3330991.8039640966,302916.6650614193
"1",33500,-3331091.8039640966,302916.6650614193
"1",33600,-3331191.8039640966,302916.6650614193
